Country,Count
africa,14
france,12
russia,8
germany,32
yugoslavia,5
czechoslovakia,5
ussr,35
italy,10
united states,46
austria,1
spain,1
united kingdom,18
poland,10
estonia,2
latvia,2
lithuania,2
finland,4
denmark,1
norway,4
sweden,1
belgium,2
netherlands,1
luxembourg,1
greece,3
albania,2
ukraine,1
belarus,1
north africa,4
libya,3
egypt,2
iraq,1
iran,4
japan,28
morocco,1
algeria,1
"china, people's republic of",7
thailand,1
singapore,2
myanmar,2
solomon islands,2
philippines,4
india,9
pakistan,3
israel,4
south africa,2
papua new guinea,1
laos,1
cambodia,2
kenya,1
ghana,1
cape verde,1
angola,1
romania,3
bulgaria,1
hungary,1
mongolia,1
"korea,north",4
cuba,3
"korea,south",2
canada,1
australia,1
vietnam,5
rwanda,1
afghanistan,1
lebanon,1
